id,label
14848,0
6587,2
3873,0
18984,0
8297,2
16793,2
18963,0
7523,2
12661,1
19640,1
13598,2
18469,1
3628,1
16464,0
14796,0
12601,2
1735,1
640,1
10773,1
3810,0
5785,2
17255,1
16166,0
12132,1
11491,2
16476,2
15776,1
18200,2
714,2
7782,1
6815,2
18696,2
2541,1
15175,0
16286,0
19924,1
7552,1
16190,0
14824,0
10539,2
9959,2
3702,2
10704,2
13947,1
2505,2
4340,0
5254,1
18716,1
15228,0
18182,2
7138,2
16723,0
12577,1
19161,0
15877,2
10576,1
16721,2
6675,2
4811,1
13886,2
14550,2
7153,2
15060,0
12741,2
12515,2
10021,2
16586,0
15867,0
15918,2
8368,2
15365,0
17272,1
14017,2
19003,2
18727,0
1136,1
14772,0
4343,0
10938,1
2199,2
7590,2
14903,1
3829,0
13010,2
12808,2
16084,0
2701,2
13079,2
19084,0
1024,0
14470,0
8170,2
315,1
11941,2
15501,0
13722,2
16830,0
14987,1
18733,0
17007,0
18151,1
1828,2
7702,2
16180,0
15797,2
16471,1
13744,2
16247,0
141,2
19535,2
15257,0
17821,1
10000,2
4574,1
16678,0
15837,0
14991,0
11659,2
6973,1
14805,2
13304,2
15706,0
18978,1
1756,1
15719,2
7877,2
19123,0
14828,2
15959,0
1410,1
6161,2
18707,0
12571,2
3911,1
16330,0
13638,2
19536,2
4304,0
17637,2
4237,0
17069,0
15592,0
7167,2
13520,1
14450,0
8385,1
16107,0
9337,1
15526,0
11050,2
12282,2
18083,1
11593,2
13254,2
7734,2
18639,0
10504,2
14642,0
15630,0
7255,2
16410,0
4313,0
10974,2
3805,0
255,1
8582,1
4341,1
6978,2
15191,1
8483,1
14427,0
5395,2
16486,0
15261,1
9741,2
804,2
1412,1
2651,1
6724,1
19081,0
15626,2
11438,1
15180,0
15912,2
14351,1
16259,0
16610,2
7165,1
15258,0
15335,0
5072,2
14581,0
16502,1
17648,1
4344,0
19376,1
14451,0
12744,2
19028,0
19501,2
16648,0
8380,2
15244,0
11743,1
19044,0
4418,0
15026,0
7959,2
6333,2
5904,1
6951,2
4960,2
13155,2
14838,0
16808,0
16744,0
16561,0
11769,1
3879,2
15089,0
14920,0
6270,2
17651,2
4608,0
14699,0
18986,0
14797,0
13933,2
15969,0
8178,1
16574,0
12704,2
7424,2
14667,1
16327,0
16207,0
4195,0
2428,1
6166,1
12937,2
15476,0
4209,0
10382,2
19001,0
6862,1
19243,0
3387,1
11846,1
3415,1
1220,2
16160,0
7538,2
19039,0
8437,2
13371,2
4342,0
18760,0
16411,2
14562,0
1865,2
9065,2
19776,2
18104,2
6044,2
9166,1
976,0
6392,2
17125,0
16689,1
14708,1
8606,2
11916,1
4643,0
9469,1
18908,1
7925,2
4255,0
11869,2
17719,2
15684,0
9326,2
16439,0
15546,0
15845,0
7205,1
14758,0
15566,0
19622,1
15249,0
15304,0
14461,0
17178,0
7769,2
6984,2
11887,2
16082,0
4535,0
16078,0
16004,0
17196,1
17062,0
9299,2
10212,2
15792,0
10559,1
18711,0
986,0
12554,2
6630,1
13823,2
9153,2
15221,0
7120,2
15741,2
14603,0
4537,0
14556,2
14775,0
19210,1
18913,2
683,1
11030,2
10207,2
4177,0
14714,0
19010,0
950,0
14368,0
15885,0
13967,2
8433,1
15142,0
4183,0
5406,1
684,2
16959,1
4597,0
15731,2
15059,0
19284,0
7909,2
16937,0
16858,0
14548,0
1958,1
4291,0
9369,2
15777,0
14136,1
4458,0
3265,2
17391,1
16145,0
18249,2
11014,1
1897,1
15008,0
15613,0
15256,0
644,2
10368,1
4260,0
6038,2
14854,0
6053,1
13735,2
19007,0
14413,2
19729,2
16968,0
10805,2
16211,0
14982,1
14575,0
18964,2
7662,1
14478,0
9750,1
13951,1
19451,2
1336,2
7520,2
4281,0
1123,1
15280,0
17885,1
14578,0
17096,0
15422,0
4473,0
12163,2
13416,1
2046,2
947,0
15829,2
16630,0
17886,1
19143,0
9923,2
14679,0
16783,2
7696,2
18517,2
17987,1
13808,1
15462,2
15262,0
4380,0
11476,1
12232,2
12566,2
16991,2
15631,0
13836,2
3377,1
9251,1
14506,0
4485,0
15778,0
14771,0
15154,0
19634,1
16325,0
2559,2
15507,0
16512,0
10347,2
19204,2
19442,1
2053,2
19614,2
15007,0
17083,0
6322,1
15326,0
10486,1
8356,2
3389,1
14510,0
8298,1
15452,0
14040,2
12662,2
7808,2
16070,0
19649,2
18234,1
8033,1
14921,0
1796,2
3459,1
2583,2
7476,2
19119,0
17132,0
9709,1
6072,1
3796,0
16044,0
2666,1
15921,0
6528,1
16638,0
14403,2
13841,1
16890,0
3996,2
5230,2
15307,0
17926,2
840,2
16522,0
19297,0
4292,0
6011,2
15260,0
2291,2
4834,1
990,0
562,1
18773,2
4230,1
12090,2
17543,1
5321,1
12892,1
12049,2
15019,0
1297,2
7306,1
18503,2
2588,1
15370,1
10571,2
8028,1
18310,2
9712,1
16823,1
5795,1
6547,1
13999,2
16584,2
16659,2
16449,0
16702,1
9344,1
12321,1
17684,2
3803,2
11417,2
15892,0
16731,0
16374,0
14831,0
9694,1
2000,1
2869,2
1305,1
15621,0
15388,0
8349,2
19185,0
8418,2
13229,2
4145,2
11872,2
15137,0
6272,2
9037,1
15084,1
4065,1
18757,0
1000,0
5045,2
7172,1
375,1
15963,0
